Date,Close/Last,Volume,Open,High,Low
09/09/2025,$67.34,11649370,$66.74,$67.435,$66.64
09/08/2025,$66.88,14038020,$66.72,$67.005,$66.35
09/05/2025,$66.90,21050790,$67.715,$68.10,$66.48
09/04/2025,$67.99,14388530,$68.10,$68.41,$67.41
09/03/2025,$67.67,14320140,$68.045,$68.13,$67.33
09/02/2025,$67.80,18928840,$68.105,$68.32,$67.38
08/29/2025,$69.09,14952970,$69.11,$69.46,$68.835
08/28/2025,$69.43,15256030,$68.36,$69.5758,$68.35
08/27/2025,$68.44,13876660,$68.32,$68.745,$68.15
08/26/2025,$68.39,28307870,$67.165,$68.75,$67.11
08/25/2025,$67.14,11724470,$67.28,$67.495,$67.11
08/22/2025,$67.32,16830590,$67.33,$68.04,$67.005
08/21/2025,$67.02,12456620,$67.10,$67.22,$66.47
08/20/2025,$67.11,14946420,$66.82,$67.185,$66.535
08/19/2025,$66.76,18746600,$66.76,$67.52,$66.4802
08/18/2025,$66.95,20903410,$66.08,$67.11,$65.75
08/15/2025,$66.20,40877320,$68.45,$68.65,$65.86
08/14/2025,$69.30,39317330,$68.00,$70.61,$67.48
08/13/2025,$70.40,38096360,$71.86,$72.03,$70.25
08/12/2025,$71.38,21940980,$70.785,$71.50,$70.56
08/11/2025,$70.67,28911380,$72.30,$72.55,$70.34
